Наименование вакансии	Зарплата	Наличие тестового задания	Дата публикации	Организация	URL-ссылка
Агент по продажам	50000-110000	Нет	09.02.2024	Агентство мерчандайзинга АСМ	https://hh.ru/vacancy/92963173
Менеджер по работе с маркетплейсами в офис /начинающий специалист	60000-None	Нет	26.02.2024	АРЕС	https://hh.ru/vacancy/91836797
Менеджер по работе с клиентами (удаленно)	60000-80000	Нет	27.02.2024	Компания БКС	https://hh.ru/vacancy/93839925
Secondary Markets Analyst	None	Нет	26.02.2024	Контакт	https://hh.ru/vacancy/91494549
Менеджер маркетплейсов по продаже зоотоваров	None-70000	Нет	26.02.2024	KUPI-KORM	https://hh.ru/vacancy/93808509
Специалист по контекстной рекламе в Директ	None-60000	Нет	26.02.2024	Яндекс Крауд	https://hh.ru/vacancy/91316124
Координатор отдела продаж (аналитик), Парголово	55000-None	Нет	26.02.2024	ГК ТЕХПОРТАВТОСЕРВИС	https://hh.ru/vacancy/90907211
Менеджер по продажам на маркетплейсах (направление текстиль)	80000-None	Нет	26.02.2024	ТАЙПИТ, Торгово-промышленная группа	https://hh.ru/vacancy/92872749
Менеджер маркетплейсов	90000-None	Нет	25.02.2024	Рекруто	https://hh.ru/vacancy/93746604
Media buyer / FB	40000-600000	Нет	01.03.2024	Арбитраж Трафика	https://hh.ru/vacancy/93634521
Менеджер по сопровождению проектов	80000-150000	Нет	26.02.2024	Эталон Инжиниринг	https://hh.ru/vacancy/91887207
Разработчик 1С	None	Нет	26.02.2024	Банк Санкт-Петербург	https://hh.ru/vacancy/93820618
Специалист по сопровождению научной деятельности в сфере клинической психологии	40000-120000	Нет	26.02.2024	Научно - Инновационный Институт Профессиональной Переподготовки и Повышения Квалификации	https://hh.ru/vacancy/93807183
Специалист отдела подготовки лотов и формирования заявок на закупку	None	Нет	26.02.2024	ТИТАН-2, холдинг	https://hh.ru/vacancy/92458567
Менеджер по продажам мебели	60000-None	Нет	03.02.2024	Валант	https://hh.ru/vacancy/92635381
Менеджер по подбору персонала / рекрутер (ученик, удаленно)	50000-None	Нет	26.02.2024	АРЕС	https://hh.ru/vacancy/93212343
Продавец - кассир (ул. Туристская, 30)	61300-69000	Нет	06.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/92748529
Менеджер по подбору персонала / рекрутер (удаленно)	None	Нет	26.02.2024	ГК КАРЕЛКАМЕНЬ	https://hh.ru/vacancy/93799284
Администратор проектов	None	Нет	25.02.2024	Diasoft	https://hh.ru/vacancy/92759690
Менеджер по подбору персонала	None-69000	Нет	26.02.2024	Управляющая компания Опека	https://hh.ru/vacancy/93525106
Стажер на производство	None	Нет	26.02.2024	Unilever	https://hh.ru/vacancy/93594320
С# Senior	250000-None	Нет	25.02.2024	Рекруто	https://hh.ru/vacancy/93734486
Бизнес-ассистент руководителя на Wildberries	20000-40000	Да	03.03.2024	Бабиченко Наталья Степановна	https://hh.ru/vacancy/92676181
Младший системный аналитик	None	Нет	23.02.2024	ЦИФРА	https://hh.ru/vacancy/92286539
Junior Analyst (Customer Support Team)	None	Нет	22.02.2024	Sputnik8	https://hh.ru/vacancy/93687259
Контент-менеджер социальных сетей с разными гео в маркетинговую (медиабайнг) команду	40000-None	Нет	23.02.2024	Горизонт	https://hh.ru/vacancy/93702411
Аналитик по работе с ключевыми каналами продаж	None	Нет	22.02.2024	ANCOR	https://hh.ru/vacancy/93659202
Стажер в направление исследовательских проектов	30000-30000	Нет	22.02.2024	uForce	https://hh.ru/vacancy/93676941
Стажер/аналитик	35000-35000	Нет	22.02.2024	Судоходная компания Волжское пароходство	https://hh.ru/vacancy/92740992
Менеджер по маркетплейсам	60000-None	Нет	22.02.2024	MARSHALL	https://hh.ru/vacancy/93674571
Специалист отдела аналитики и развития	45000-65000	Нет	22.02.2024	СПб ГБУ Центр оздоровления и отдыха Молодежный	https://hh.ru/vacancy/91084555
CRM маркетолог / CRM маркетинг менеджер в Яндекс.Доставку	None	Нет	22.02.2024	Яндекс	https://hh.ru/vacancy/93686817
Junior SQL developer	50000-None	Нет	22.02.2024	Devim	https://hh.ru/vacancy/93662171
Стажёр Системный Аналитик / System Analyst	None	Нет	21.02.2024	ИНФИНАЙТ СИНЕРДЖИ	https://hh.ru/vacancy/93626348
Таргетолог Telegram Ads (Manager TG Ads)	25000-None	Нет	22.02.2024	Плугарь Максим Андреевич	https://hh.ru/vacancy/93658195
HR-бизнес-партнер	110000-None	Нет	22.02.2024	Рекруто	https://hh.ru/vacancy/93683616
Аккаунт-менеджер в IT (Повторные продажи, менеджер по работе с действующими клиентами)	60000-120000	Нет	22.02.2024	INVO Group	https://hh.ru/vacancy/93665589
Junior IT Recruiter/Sourcer	None	Нет	22.02.2024	Газпром нефть	https://hh.ru/vacancy/93663195
Младший программист 1С (Junior)	None-50000	Нет	22.02.2024	Внедренцы и Программисты	https://hh.ru/vacancy/92126290
HR менеджер	55000-None	Нет	22.02.2024	Монополия	https://hh.ru/vacancy/93656946
Личный ассистент / помощник руководителя	None	Нет	22.02.2024	Сев-Зап Ресурс	https://hh.ru/vacancy/92095403
Аналитик-консультант 1С:ERP (регламентированный и управленческий учет)	200000-None	Нет	21.02.2024	КОНФЛЕКС СПб	https://hh.ru/vacancy/93583287
Стажёр QA	None	Нет	21.02.2024	ИНФИНАЙТ СИНЕРДЖИ	https://hh.ru/vacancy/93626500
Координатор отдела	None-70000	Нет	21.02.2024	Классик	https://hh.ru/vacancy/93202125
Начинающий менеджер по работе с клиентами (IT продукт)	45000-90000	Нет	21.02.2024	Первый Бит	https://hh.ru/vacancy/82563928
Стажёр Java Разработчик \ Java Developer	None	Нет	21.02.2024	ИНФИНАЙТ СИНЕРДЖИ	https://hh.ru/vacancy/93626683
Технолог-аналитик / Младший аналитик	60000-None	Нет	20.02.2024	Сириус	https://hh.ru/vacancy/91377818
Product Owner «АРМ Менеджера»	200000-None	Нет	20.02.2024	Алабуга, ОЭЗ ППТ	https://hh.ru/vacancy/92081709
IT Customer Support Specialist (Junior)	None	Да	21.02.2024	Evercode Lab	https://hh.ru/vacancy/92278853
Начинающий account manager (IT-продукт)	None	Нет	21.02.2024	Первый Бит	https://hh.ru/vacancy/87412974
Digital-маркетолог	None-130000	Нет	20.02.2024	Введенский, Отель	https://hh.ru/vacancy/93302958
Стажёр React Разработчик / React Developer	None	Нет	21.02.2024	ИНФИНАЙТ СИНЕРДЖИ	https://hh.ru/vacancy/93626815
Специалист по подбору персонала	55000-None	Нет	21.02.2024	Монополия	https://hh.ru/vacancy/92215203
Стажер/Специалист, Группа по совершенствованию налоговой функции (Tax Performance Advisory)	None	Нет	20.02.2024	Б1 (B1)	https://hh.ru/vacancy/92272960
Системный аналитик/стажер	None	Нет	19.02.2024	Газпром нефть	https://hh.ru/vacancy/93461073
Специалист по рекламе и PR	100000-None	Нет	20.02.2024	Рекруто	https://hh.ru/vacancy/93551975
Ассистент отдела закупок	60000-None	Нет	20.02.2024	Петрович, Строительный Торговый Дом	https://hh.ru/vacancy/87680363
Стажер - системный аналитик (команда ЕРМ)	None-50000	Нет	19.02.2024	СБЕР	https://hh.ru/vacancy/93447915
Менеджер по продажам металлопроката	70000-250000	Нет	21.02.2024	Асталита	https://hh.ru/vacancy/92172790
Научный сотрудник (Группа получения и аттестации клеточных линий)	None	Нет	21.02.2024	БИОКАД, биотехнологическая компания	https://hh.ru/vacancy/88959122
Специалист по документообороту	70000-None	Нет	20.02.2024	Стройгазсервис	https://hh.ru/vacancy/93561112
Бизнес-аналитик 1С	None	Нет	19.02.2024	Газпром нефть	https://hh.ru/vacancy/80597746
Заместитель руководителя Wildberries	60000-70000	Нет	19.02.2024	Septivit	https://hh.ru/vacancy/93492186
Ассистент отдела персонала	48000-48000	Нет	20.02.2024	Петрович, Строительный Торговый Дом	https://hh.ru/vacancy/92751525
Экономист (отдел консолидированной отчетности, бюджетирования и методологии)	None	Нет	19.02.2024	Деловые Линии	https://hh.ru/vacancy/93461485
SMM-менеджер, удаленно	None-15000	Нет	20.02.2024	TOMEOW.RU	https://hh.ru/vacancy/93540933
No-code разработчик (без опыта)	60000-None	Нет	19.02.2024	Планетра	https://hh.ru/vacancy/93480548
Ассистент отдела маркетинга	None-40000	Нет	19.02.2024	Онлайн-институт Smart	https://hh.ru/vacancy/93447905
Менеджер в ITMO.STORE	None	Нет	20.02.2024	Университет ИТМО	https://hh.ru/vacancy/92749234
Ведущий специалист по сервисному обслуживанию	60000-90000	Нет	20.02.2024	Хеликс, лабораторная служба	https://hh.ru/vacancy/93520671
Младший менеджер по работе с клиентами	50000-70000	Нет	19.02.2024	MARSHALL	https://hh.ru/vacancy/92199355
Специалист поддержки Яндекс Игр в соцсетях	None	Нет	19.02.2024	Яндекс Крауд	https://hh.ru/vacancy/93491852
Инспектор по сбору информации (аудитор)	None	Нет	19.02.2024	NielsenIQ	https://hh.ru/vacancy/93443175
Стажёр в команду подбора персонала	None	Нет	19.02.2024	Технологии Доверия	https://hh.ru/vacancy/92112954
Ассистент HR-менеджера	None	Нет	19.02.2024	Realweb	https://hh.ru/vacancy/93460156
Специалист колл-центра Яндекс Бизнеса	25000-None	Нет	20.02.2024	Яндекс Крауд	https://hh.ru/vacancy/86289705
Regional Channels Specialist/Аналитик по работе с ключевыми каналами продаж	None	Нет	17.02.2024	JTI	https://hh.ru/vacancy/90834066
Начинающий специалист по контекстной рекламе	None	Нет	18.02.2024	E-PROMO	https://hh.ru/vacancy/91925878
Администратор магазина	70000-100000	Нет	19.02.2024	Управдом	https://hh.ru/vacancy/93479617
Инженер по вещанию	None	Нет	19.02.2024	Триколор	https://hh.ru/vacancy/91986499
Помощник менеджера маркет-плейсов wildberries ozon яндекс	50000-None	Нет	17.02.2024	ТортДеко	https://hh.ru/vacancy/93394850
Специалист по кадровому администрированию	70000-70000	Нет	19.02.2024	Мой медицинский центр	https://hh.ru/vacancy/91994834
Младший аналитик 1С	None	Нет	16.02.2024	СофтБаланс	https://hh.ru/vacancy/85711247
Data analyst	300000-350000	Нет	16.02.2024	АйТиКвик	https://hh.ru/vacancy/93348304
Бизнес-аналитик Directum RX	None-150000	Нет	16.02.2024	Алиал Групп	https://hh.ru/vacancy/93326245
Маркетолог	70000-None	Нет	16.02.2024	Перинт	https://hh.ru/vacancy/93154883
Менеджер интернет-проектов	None	Нет	16.02.2024	ФСК Северо-Запад	https://hh.ru/vacancy/92937060
Менеджер по работе с маркетплейсам Ozon, Wildberries	60000-120000	Нет	15.02.2024	БлокСПб	https://hh.ru/vacancy/93291439
Программист-стажер 1С	30000-None	Нет	16.02.2024	СофтБаланс	https://hh.ru/vacancy/75909592
Брокер по Элитной Недвижимости	500000-6000000	Нет	16.02.2024	Элитный Сочи	https://hh.ru/vacancy/93333235
Стажер-аналитик (консалтинг)	None	Нет	14.02.2024	Газпром нефть	https://hh.ru/vacancy/92908557
Консультант 1С Управление холдингом (сопровождение)	None	Нет	15.02.2024	ALP GROUP	https://hh.ru/vacancy/93290320
Менеджер по развитию клиентов в IT-компании (junior account manager)	45000-75000	Нет	15.02.2024	Первый Бит	https://hh.ru/vacancy/93306231
Менеджер по работе с федеральными сетями	80000-110000	Нет	15.02.2024	АЙСБЕРРИ	https://hh.ru/vacancy/93262072
Ассистент отдела аккаунтов	55000-None	Нет	14.02.2024	AGM group	https://hh.ru/vacancy/93212711
Менеджер клиентского анализа (администратор-аналитик Excel)	60000-None	Нет	13.02.2024	ЭТМ, компания	https://hh.ru/vacancy/93120952
Помощник менеджера в отдел продаж	60000-None	Нет	15.02.2024	МЕДОВЫЙ ДОМ	https://hh.ru/vacancy/90883637
Координатор проекта (Внедрение CRM Битрикс24), Project-Manager без тех.части (удаленно)	50000-90000	Нет	13.02.2024	INVO Group	https://hh.ru/vacancy/93128377
Cпециалист по контекстной рекламе Junior	None	Нет	14.02.2024	AGM group	https://hh.ru/vacancy/93226416
Стажер в Управление по работе с клиентами крупного и среднего бизнеса	None	Нет	14.02.2024	СБЕР	https://hh.ru/vacancy/93235279
Торговый представитель	90000-150000	Нет	15.02.2024	Лаборатория Ремонта	https://hh.ru/vacancy/89383206
Стажер Аналитик данных (Группа аналитики данных)	None-30000	Да	12.02.2024	ЦРПТ (Центр развития перспективных технологий)	https://hh.ru/vacancy/92011187
Продакт-менеджер	None	Нет	13.02.2024	АКПК ИЛМА	https://hh.ru/vacancy/93148055
Младший аналитик данных (Группа аналитики данных)	None	Да	12.02.2024	ЦРПТ (Центр развития перспективных технологий)	https://hh.ru/vacancy/93102802
Младший ассистент в отдел торгового маркетинга и внешних коммуникаций	43000-45000	Нет	14.02.2024	TOPTOP	https://hh.ru/vacancy/93200964
Рекрутер	50000-None	Нет	14.02.2024	HR Solutions	https://hh.ru/vacancy/93235164
Ассистент консультанта	None	Нет	13.02.2024	ЛАНИТ	https://hh.ru/vacancy/93155653
Менеджер проектов в сфере автоматизации HR	110000-None	Нет	13.02.2024	Домейн	https://hh.ru/vacancy/93161739
Ведущий специалист финансового отдела	None	Нет	13.02.2024	Газпром газораспределение Ленинградская область	https://hh.ru/vacancy/93161393
Директолог	40000-60000	Нет	13.02.2024	Невские Кухни	https://hh.ru/vacancy/93154426
Финансовый менеджер-аналитик / Экономист	None	Нет	12.02.2024	КИДБУРГ	https://hh.ru/vacancy/91315783
Специалист в команду подбора персонала	None	Нет	14.02.2024	Технологии Доверия	https://hh.ru/vacancy/93192086
Практикант в Центре документационного и информационного обеспечения	None	Нет	13.02.2024	Газпром нефть	https://hh.ru/vacancy/93133814
Помощник маркетолога\контент-менеджер	45000-60000	Нет	13.02.2024	Отражение	https://hh.ru/vacancy/93147893
Продавец-кассир (Выборгское шоссе, 23)	61300-67000	Нет	16.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/90842540
Начинающий специалист по внедрению банковского ПО	None	Нет	12.02.2024	Diasoft	https://hh.ru/vacancy/83643947
Младший интернет-маркетолог медицинского центра	35000-None	Нет	12.02.2024	Дженерал Медикал Центр-СП	https://hh.ru/vacancy/93104564
Помощник маркетолога / ассистент (стажер-практикант)	10000-15000	Нет	12.02.2024	Nemkovich Marketing Studio	https://hh.ru/vacancy/93067886
Менеджер по продажам (Московский 71)	50000-None	Нет	14.02.2024	ГК ВЕСТ Телеком	https://hh.ru/vacancy/87682367
Продавец - кассир	63500-69000	Нет	15.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/83330586
Аккаунт-менеджер в интернет-агентство / Менеджер интернет-проектов	40000-None	Да	12.02.2024	Интернет-агентство ARTRIX	https://hh.ru/vacancy/93064725
Продавец - кассир Красногвардейский район	63500-69000	Нет	15.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/76954304
Специалист по работе с клиентами (координатор отдела продаж)	None	Нет	12.02.2024	Мастер Мир	https://hh.ru/vacancy/92088363
Региональный менеджер	150000-200000	Нет	12.02.2024	Вода	https://hh.ru/vacancy/89182927
Мерчендайзер	None-60000	Нет	13.02.2024	Продмастер	https://hh.ru/vacancy/91330298
Торговый представитель	73000-None	Нет	13.02.2024	Объединенные кондитеры	https://hh.ru/vacancy/92339878
Логист по привлеченному транспорту	100000-180000	Нет	12.02.2024	Delko	https://hh.ru/vacancy/91710378
Ассистент маркетолога-аналитика	None	Нет	09.02.2024	Евросиб	https://hh.ru/vacancy/91026468
Ведущий аналитик цифровой трансформации	110000-None	Нет	09.02.2024	СПб ГКУ Управление информационных технологий и связи	https://hh.ru/vacancy/91625634
Менеджер по продажам автозапчастей	100000-120000	Нет	12.02.2024	ШАТЕ-М ПЛЮС	https://hh.ru/vacancy/90657664
Мерчендайзер (м. Пр. Ветеранов)	None	Нет	13.02.2024	Шишкин Лес Холдинг	https://hh.ru/vacancy/93129008
Инженер-аналитик	None	Нет	08.02.2024	НТА	https://hh.ru/vacancy/92870614
Врач - аналитик (удаленно)	55000-None	Нет	08.02.2024	Медицинский центр XXI век (21 век)	https://hh.ru/vacancy/92904856
Junior-разработчик	60000-None	Нет	09.02.2024	Планетра	https://hh.ru/vacancy/92961834
Мерчендайзер	None	Нет	11.02.2024	Novabev Group	https://hh.ru/vacancy/88988623
Менеджер по закупкам (начинающий специалист)	70000-None	Нет	09.02.2024	САТУРН - строительные материалы	https://hh.ru/vacancy/89684602
Аналитик 1С IDM	150000-170000	Нет	08.02.2024	ЦИБИТ	https://hh.ru/vacancy/90267816
Hr аналитик	None	Нет	07.02.2024	Газстройпром	https://hh.ru/vacancy/88900468
Менеджер по продажам Битрикс24 (удаленно)	100000-250000	Нет	09.02.2024	INVO Group	https://hh.ru/vacancy/92965611
Интернет-маркетолог	100000-None	Нет	08.02.2024	Appwill	https://hh.ru/vacancy/92897744
Стажер Data Analyst	None	Нет	07.02.2024	СБЕР	https://hh.ru/vacancy/92841659
Офис-менеджер	45000-None	Нет	16.02.2024	Advline	https://hh.ru/vacancy/91786178
Trainee in Retail Department	None	Нет	08.02.2024	Tefal	https://hh.ru/vacancy/92906783
Менеджер по работе с блогерами (fashion), удаленно	50000-60000	Нет	09.02.2024	Стайл Бокс	https://hh.ru/vacancy/92928226
Системный аналитик (Центр разработки продуктов для физических лиц)	None	Нет	07.02.2024	Бэнкс Софт Системс	https://hh.ru/vacancy/91311203
Стажер-аналитик	None	Да	06.02.2024	Softline	https://hh.ru/vacancy/92765652
Менеджер по b2b коммуникациям	45600-60000	Нет	08.02.2024	Яндекс Команда для бизнеса	https://hh.ru/vacancy/91352515
Заместитель руководителя отдела интернет-маркетинга (в офис)	120000-None	Нет	07.02.2024	HRP	https://hh.ru/vacancy/92838562
Помощник интернет-маркетолога / Администратор сайта / SEO-специалист	40000-60000	Нет	07.02.2024	Невские Кухни	https://hh.ru/vacancy/92847594
Менеджер по работе на wildberries	20000-30000	Нет	16.02.2024	Горбаль Виталий Викторович	https://hh.ru/vacancy/93349649
Территориальный менеджер по продажам	90000-180000	Нет	15.02.2024	Лаборатория Ремонта	https://hh.ru/vacancy/89389384
Менеджер по работе с Маркетплейсами	100000-None	Нет	13.02.2024	Вода	https://hh.ru/vacancy/76276958
Специалист по закупкам	70000-86000	Нет	08.02.2024	Сервисная Компания ИНТРА	https://hh.ru/vacancy/88358399
Продавец-консультант (кавист) в винотеку VINISSIMO	60000-None	Нет	09.02.2024	Дива	https://hh.ru/vacancy/92949505
Младший менеджер по продажам/Junior sales manager (удалённо)	90000-None	Нет	06.02.2024	MPSTATS	https://hh.ru/vacancy/92743672
Специалист по межзаводской кооперации	70000-86000	Нет	08.02.2024	Сервисная Компания ИНТРА	https://hh.ru/vacancy/91540266
Помощник руководителя коммерческого отдела	60000-80000	Нет	07.02.2024	Международный Кадровый Центр	https://hh.ru/vacancy/92833040
Ресечер/ рекрутер	50000-None	Нет	07.02.2024	Самолет Плюс СПб	https://hh.ru/vacancy/91491250
Оператор колл-центра в фитнес клуб	50000-70000	Нет	08.02.2024	Mytimefitness	https://hh.ru/vacancy/91294600
Медиабайер	None	Нет	05.02.2024	ЗОРД	https://hh.ru/vacancy/92725032
User Acquisition manager (Google Ads), мобильные приложения	100000-None	Нет	05.02.2024	DevSect (ООО Гринхэт)	https://hh.ru/vacancy/92692382
Таргетолог в маркетинговое агентство	30000-None	Нет	04.02.2024	Азарова Виктория Викторовна	https://hh.ru/vacancy/92649016
Менеджер по продажам / менеджер по работе с клиентами	35500-150800	Нет	05.02.2024	Команда Ф5	https://hh.ru/vacancy/92715372
Android разработчик (Java/Kotlin)	50000-80000	Нет	06.02.2024	3snet	https://hh.ru/vacancy/92788923
Разнорабочий в Германию	266800-336000	Нет	16.02.2024	Кольман Владислав Валериевич	https://hh.ru/vacancy/92944133
Инженер по международной кооперации	None	Нет	06.02.2024	РЭС ИНЖИНИРИНГ	https://hh.ru/vacancy/92462077
Актер проекта в TikTok	30000-100000	Нет	06.02.2024	Benita Media Hub	https://hh.ru/vacancy/92741115
Продавец - кассир Фрунзенский район	63500-67000	Нет	08.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/86963970
Продавец-кассир (м. Площадь Ленина, Металлистов пр-кт, 77)	63500-69000	Нет	08.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/86138243
Продавец - кассир (ш. Петергофское, д. 45, литер. А)	61300-69000	Нет	08.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/92907789
Автор студенческих работ (химия)	30000-80000	Нет	05.02.2024	Студсервис	https://hh.ru/vacancy/92677471
Ассистент руководителя проектов (количественные маркетинговые исследования, социология)	45000-50000	Нет	07.02.2024	Тибурон	https://hh.ru/vacancy/92839187
Оперуполномоченный/сотрудник полиции/полицейский ГУ МВД (Санкт-Петербург, Ленинградская область)	70000-90000	Нет	02.02.2024	Центр по обеспечению безопасности лиц, подлежащих государственной защите ГУ МВД России по г. Санкт-Петербургу и Ленинградской области	https://hh.ru/vacancy/90723397
Менеджер/помощник менеджера по маркетплейсам	20000-60000	Нет	07.02.2024	ECOMSTUDIO	https://hh.ru/vacancy/92839806
Личный ассистент	10000-None	Нет	03.02.2024	Журавлева Мария Андреевна	https://hh.ru/vacancy/92629391
