Наименование вакансии	Зарплата	Наличие тестового задания	Дата публикации	Организация	URL-ссылка
Начинающий специалист/Стажер в IT-компанию/Аналитик Битрикс24 (Удаленно)	30000-100000	Нет	22.02.2024	INVO Group	https://hh.ru/vacancy/93665708
Аналитик данных	None	Нет	19.02.2024	Газпром нефть	https://hh.ru/vacancy/93463080
Бизнес-аналитик	None	Нет	19.02.2024	Газпром нефть	https://hh.ru/vacancy/81922976
Аналитик 1С	130000-130000	Нет	02.03.2024	Лань-Трейд	https://hh.ru/vacancy/93476427
Помощник руководителя сервиса аналитики Wildberries	50000-60000	Нет	29.02.2024	Getdata	https://hh.ru/vacancy/94057315
Аналитик-стажер в департамент мобильных решений	None-45000	Нет	03.03.2024	Крит	https://hh.ru/vacancy/91306973
Экономист-аналитик (строительство)	60000-75000	Нет	01.03.2024	Сан Резиденс Проджект	https://hh.ru/vacancy/92974475
Стажер-аналитик 1С (с обучением)	None	Нет	01.03.2024	СофтБаланс	https://hh.ru/vacancy/92721387
Маркетолог Wildberries, Ozon (удаленно)	100000-150000	Нет	03.03.2024	Кадровый центр Проталанты	https://hh.ru/vacancy/93803241
Стажер в Службу управления мотивацией (направление бюджетирования и аналитики)	34600-34600	Нет	02.03.2024	Лента, федеральная розничная сеть	https://hh.ru/vacancy/93464530
Стажер /младший системный аналитик (отдел внедрения)	45000-None	Нет	02.03.2024	Солантек	https://hh.ru/vacancy/92393925
Специалист по бизнес-процессам / Бизнес-аналитик	None	Нет	02.03.2024	Карекс-Центр, Группа компаний	https://hh.ru/vacancy/93978506
Junior ASO manager	None	Нет	29.02.2024	Мобайл Медиа	https://hh.ru/vacancy/93826628
Аналитик SOC L1	None	Нет	01.03.2024	ГАЗИНФОРМСЕРВИС	https://hh.ru/vacancy/92095603
Аналитик информационно-аналитического отдела	None	Нет	03.03.2024	СПБ ГБУ ГИМЦ ДОСТУПНАЯ СРЕДА	https://hh.ru/vacancy/93525605
Ассистент менеджера по работе с маркетплейсами	55000-None	Нет	03.03.2024	ACG	https://hh.ru/vacancy/94023243
Менеджер по рекламе на Wildberries / Вайлдбериз	90000-150000	Да	02.03.2024	ЭЙЧ ТИ ГРУПП РИТЕЙЛ	https://hh.ru/vacancy/93899984
Маркетолог	90000-None	Нет	01.03.2024	БелАК-Рус	https://hh.ru/vacancy/92749742
Сервисный инженер-стажёр	90000-None	Нет	01.03.2024	Экситон Аналитик	https://hh.ru/vacancy/93287940
Помощник менеджера по работе с маркетплейсами	50000-None	Нет	03.03.2024	Бейбер	https://hh.ru/vacancy/93223368
Менеджер по закупкам и запасам (направление маркетплейсы)	60000-None	Нет	01.03.2024	Торговый Дом Молот	https://hh.ru/vacancy/92791677
Младший менеджер / Помощник менеджера по маркетплейсам OZON	40000-60000	Нет	02.03.2024	Текстильмаркет	https://hh.ru/vacancy/93446025
Руководитель отдела web-аналитики / Head of Analytics	None	Нет	29.02.2024	Realweb	https://hh.ru/vacancy/94040800
Менеджер по работе с маркетплейсами	None	Нет	02.03.2024	REBELGROUP	https://hh.ru/vacancy/93907461
Junior менеджер по оптимизации интернет-рекламы	49000-None	Нет	03.03.2024	Софтвайс	https://hh.ru/vacancy/91281922
Специалист по расчетам	37000-None	Нет	01.03.2024	Яндекс Команда для бизнеса	https://hh.ru/vacancy/92807842
Специалист по внедрению информационных систем	50000-90000	Нет	02.03.2024	САМСОН Групп	https://hh.ru/vacancy/93135824
Трейд-маркетолог	100000-None	Нет	01.03.2024	ESTEL	https://hh.ru/vacancy/93881126
Младший специалист по контентному продвижению	None	Нет	01.03.2024	E-PROMO	https://hh.ru/vacancy/91817252
Специалист по информационной безопасности (Аналитик-Техпис)	None	Нет	01.03.2024	WaveAccess	https://hh.ru/vacancy/93588398
Специалист по рекламе Яндекс Директ / Контекстолог	60000-None	Нет	01.03.2024	РИНФИН-Транспорт	https://hh.ru/vacancy/93612734
Аналитик по подбору персонала	None	Нет	01.03.2024	ANCOR	https://hh.ru/vacancy/94094006
Руководитель отдела продаж в маркетинговое агентство (удаленно)	200100-331800	Нет	03.03.2024	Кутицын Владислав Алексеевич	https://hh.ru/vacancy/93778682
Стажер в отделе маркетинга	30000-None	Нет	02.03.2024	Банда умников	https://hh.ru/vacancy/92836964
Младший аналитик 1С ЗУП	None	Нет	01.03.2024	Мэлон Фэшн Груп	https://hh.ru/vacancy/90327225
PPC специалист на удаленке на Full Time	30000-40000	Нет	02.03.2024	Listid	https://hh.ru/vacancy/93685509
Стажер-консультант (ПО для финансового учета)	None	Нет	01.03.2024	СофтБаланс	https://hh.ru/vacancy/94108876
Sales manager (marketing)	80000-None	Нет	02.03.2024	Группа БАС	https://hh.ru/vacancy/90059684
Junior-разработчик	60000-None	Нет	01.03.2024	Планетра	https://hh.ru/vacancy/94114982
Начинающий Маркетолог	50000-None	Нет	02.03.2024	Невская бумага	https://hh.ru/vacancy/93972364
Стажер аналитик-проектировщик (удаленно)	None	Да	29.02.2024	Финансовые Информационные Системы	https://hh.ru/vacancy/91638806
Интернет-маркетолог	55000-None	Нет	03.03.2024	ГЛАВНЫЙ ЭЛЕМЕНТ СПБ	https://hh.ru/vacancy/92886780
Ревизор-аналитик	96200-None	Нет	29.02.2024	МАГНИТ, Розничная сеть	https://hh.ru/vacancy/93431963
Менеджер по продажам (Обработчик схемного трафика)	100000-500000	Нет	03.03.2024	Гаврилов Кирилл Викторович	https://hh.ru/vacancy/93230376
Финансовый менеджер	70000-None	Нет	02.03.2024	ИнКомПро	https://hh.ru/vacancy/93494158
Младший аналитик 1С	60000-None	Нет	29.02.2024	КомпасЛидера	https://hh.ru/vacancy/93581450
Директолог	None-60000	Нет	29.02.2024	Яндекс Крауд	https://hh.ru/vacancy/91318425
Руководитель отдела продаж/Коммерческий директор B2B	180000-350000	Нет	03.03.2024	РМ-стил	https://hh.ru/vacancy/92867434
Стажер в отдел снабжения	None	Нет	01.03.2024	Герофарм	https://hh.ru/vacancy/94108370
Интернет-маркетолог (офис)	80000-None	Нет	01.03.2024	Материк	https://hh.ru/vacancy/83302145
Руководитель отдела продаж (удаленно)	125000-None	Нет	29.02.2024	Альтасеилс	https://hh.ru/vacancy/91680590
Комьюнити-менеджер	80000-None	Нет	03.03.2024	Инфостарт	https://hh.ru/vacancy/92599119
Руководитель отдела маркетинга, рекламы и PR	130000-None	Нет	03.03.2024	DELASIA	https://hh.ru/vacancy/93516513
Маркетолог	60000-None	Нет	01.03.2024	Assino, Группа компаний	https://hh.ru/vacancy/92776995
Менеджер по работе с блогерами (удаленная работа)	20000-55000	Нет	01.03.2024	Перфлюенс	https://hh.ru/vacancy/89130174
Специалист по рекламе и PR	70000-None	Нет	02.03.2024	ЭВС	https://hh.ru/vacancy/93493463
Менеджер по работе с блогерами	None	Нет	03.03.2024	Holaf	https://hh.ru/vacancy/94041379
Менеджер по закупкам и логистике	50000-90000	Нет	02.03.2024	Торговый дом Выгода	https://hh.ru/vacancy/93968978
Менеджер по продажам B2B (digital, удаленно, стажер)	70000-None	Нет	01.03.2024	Мартынов Даниил Юрьевич	https://hh.ru/vacancy/93038243
Специалист по контекстной рекламе (Контекстолог)	None-80000	Нет	29.02.2024	Hooglink.com	https://hh.ru/vacancy/94053045
Специалист технической поддержки	60000-60000	Нет	02.03.2024	Сатурн М	https://hh.ru/vacancy/92840867
Smm-специалист / менеджер по закупке рекламы	60000-100000	Нет	29.02.2024	Горбилет	https://hh.ru/vacancy/91673357
Младший маркетолог	45000-60000	Нет	01.03.2024	Assino, Группа компаний	https://hh.ru/vacancy/93073872
Стажер-программист 1С	50000-None	Нет	01.03.2024	SYDENHAM	https://hh.ru/vacancy/93885372
Администратор департамента продаж	None	Нет	01.03.2024	Бэйби Опт Груп	https://hh.ru/vacancy/91933441
Младший менеджер по работе с блогерами	65000-None	Нет	02.03.2024	РБХ	https://hh.ru/vacancy/93970263
Руководитель группы операторов	70000-200000	Нет	02.03.2024	Тэлбокс	https://hh.ru/vacancy/91877359
Junior рекрутер	None	Нет	03.03.2024	Beget	https://hh.ru/vacancy/93781909
Аналитик по видеонаблюдению	50000-55000	Нет	29.02.2024	Группа компаний PACK&FLY	https://hh.ru/vacancy/91716677
Ассистент отдела закупок с перспективой карьерного роста.	60000-None	Нет	03.03.2024	Товарный дефицит	https://hh.ru/vacancy/91284173
Менеджер по продажам B2B (digital, удаленно)	110000-None	Нет	01.03.2024	Мартынов Даниил Юрьевич	https://hh.ru/vacancy/93038244
Junior Influence manager	None	Нет	01.03.2024	HuntIT	https://hh.ru/vacancy/94094633
Специалист по таргетированной рекламе	80000-None	Нет	01.03.2024	Максимум, Автомобильный холдинг	https://hh.ru/vacancy/94076582
Ассистент руководителя (удаленно, помощник/project manager)	25000-30000	Нет	01.03.2024	Getassistant	https://hh.ru/vacancy/94125738
IT Рекрутер (Стажер)	20000-30000	Нет	01.03.2024	Цифроматика	https://hh.ru/vacancy/94113740
Координатор отдела продаж	60000-60000	Нет	03.03.2024	Энерго	https://hh.ru/vacancy/93542323
Ассистент отдела закупок	60000-None	Нет	29.02.2024	Петрович, Строительный Торговый Дом	https://hh.ru/vacancy/94043444
Специалист технической поддержки	65000-None	Нет	01.03.2024	ГТК Групп	https://hh.ru/vacancy/92962178
SMM-менеджер	50000-None	Нет	03.03.2024	Авангард Оценочная компания	https://hh.ru/vacancy/92888899
Эколог в лабораторию (протоколист)	None	Нет	01.03.2024	АСТ-Аналитика	https://hh.ru/vacancy/94124618
Региональный менеджер по продажам / Специалист по тендерам / Менеджер по тендерным продажам	60000-200000	Нет	02.03.2024	Страел	https://hh.ru/vacancy/93978246
Помощник руководителя/Специалист отдела продаж	50000-None	Нет	01.03.2024	Инженерная компания 555	https://hh.ru/vacancy/93798209
Менеджер отдела поддержки клиентов	25000-38500	Нет	01.03.2024	GameSport	https://hh.ru/vacancy/92975706
Ведущий менеджер отдела продаж	100000-None	Нет	01.03.2024	Альфа	https://hh.ru/vacancy/92746771
Специалист по закупкам	65000-80000	Нет	03.03.2024	КЕЙС ПЛЭЙС	https://hh.ru/vacancy/93466313
Менеджер по продажам (удаленно)	100000-200000	Нет	01.03.2024	БИГ ДАТА	https://hh.ru/vacancy/90990274
"Ассистент отдела закупок направления ""Спецодежда и СИЗ"""	60000-None	Нет	01.03.2024	Петрович, Строительный Торговый Дом	https://hh.ru/vacancy/91292875
Менеджер в отдел снабжения/Закупщик	80000-None	Нет	02.03.2024	FL Haus	https://hh.ru/vacancy/93445958
Менеджер по региональным продажам	120000-None	Нет	03.03.2024	ТД Гелиос	https://hh.ru/vacancy/92899487
Менеджер по продажам	130000-None	Нет	03.03.2024	Правовая Защита и Помощь	https://hh.ru/vacancy/92707381
Менеджер по оптовым продажам военной экипировки	75000-300000	Нет	01.03.2024	Фортхан	https://hh.ru/vacancy/91707752
Ассистент отдела продаж	60000-80000	Нет	01.03.2024	Ижица	https://hh.ru/vacancy/94085855
HR Менеджер	50000-None	Нет	01.03.2024	Самолет Плюс (ИП Исайченков Алексей Владимирович)	https://hh.ru/vacancy/94079497
Менеджер по продажам СИЗ	150000-None	Нет	02.03.2024	Фокси-Главс	https://hh.ru/vacancy/93154048
Менеджер по подбору и адаптации персонала	80000-None	Нет	01.03.2024	Фармпроект	https://hh.ru/vacancy/94100195
Помощник менеджера по продажам	None	Нет	03.03.2024	Карьер-Сервис	https://hh.ru/vacancy/77656920
Менеджер по работе с сетевыми клиентами	100000-None	Нет	02.03.2024	Торговый Дом Эдельвейс	https://hh.ru/vacancy/93476303
Менеджер по продажам медицинского оборудования	75000-300000	Нет	02.03.2024	БиоМедГрупп	https://hh.ru/vacancy/91429286
Менеджер по продажам автошин	150000-None	Нет	02.03.2024	Фэнхуэн	https://hh.ru/vacancy/93154086
Менеджер по сопровождению клиентов	60000-None	Нет	01.03.2024	Ивановский кабельный завод	https://hh.ru/vacancy/92955418
Менеджер по работе с корпоративными клиентами	50000-None	Нет	02.03.2024	Компания ВендерХаус	https://hh.ru/vacancy/92827744
Менеджер по продажам	50000-150000	Нет	03.03.2024	Магистраль	https://hh.ru/vacancy/93772999
Руководитель отдела продаж	None	Нет	03.03.2024	МДМ АТЛАНТ	https://hh.ru/vacancy/93820383
Менеджер по продажам Хорека / HoReCa	60000-170000	Нет	01.03.2024	ФРУТЭКО-СПБ	https://hh.ru/vacancy/92766113
Торговый представитель/HoReCa	50000-150000	Нет	02.03.2024	София	https://hh.ru/vacancy/93336690
Руководитель маркетинговых проектов	None	Нет	29.02.2024	Компания ФАКТ	https://hh.ru/vacancy/91396042
Ведущий менеджер по оптовым продажам	150000-None	Нет	03.03.2024	Терабазис	https://hh.ru/vacancy/93764439
Агент по недвижимости	300000-None	Нет	01.03.2024	Кушнер Эстейт	https://hh.ru/vacancy/91658699
Удаленный менеджер по продажам загородной элитной недвижимости	None-1000000	Нет	01.03.2024	PUZZLE Realty	https://hh.ru/vacancy/94126020
Ассистент по ведению делопроизводства	40000-None	Нет	01.03.2024	ЮСК Групп Юридические решения	https://hh.ru/vacancy/93282328
Оператор-аналитик видеонаблюдения	40000-None	Нет	01.03.2024	Агентство Занятости Населения Центрального района г. Санкт-Петербурга	https://hh.ru/vacancy/86966239
Менеджер по персоналу	None-56000	Нет	02.03.2024	Завод АТИ	https://hh.ru/vacancy/93137518
Руководитель отдела рекрутинга	None	Нет	29.02.2024	Слетать.ру	https://hh.ru/vacancy/94038352
Бухгалтер по учету банковских операций	63000-73000	Нет	02.03.2024	Sungwoo Hitech	https://hh.ru/vacancy/93156460
Менеджер по сопровождению клиентов	120000-250000	Нет	02.03.2024	ЕЦН ТРЕНД	https://hh.ru/vacancy/77060027
Менеджер по продажам	80000-150000	Нет	29.02.2024	Клинкер Пром	https://hh.ru/vacancy/94049564
Менеджер по продажам с перспективой роста до РОПа	None	Нет	28.02.2024	Aromatopia	https://hh.ru/vacancy/93928528
